
"Notes"

"The category for gastris-enteritis and diarrhoea numbered those who died from diarrhoea only up to 1949."
"Heart disease includes all ischaemic heart disease."
"Complications of pregnancy includes childbirth and the puerperium."
"Lung cancer also includes the trachea and tronchus."
"Digestive organ cancer only included stomach cancer up to 1954."
"All other cancers includes those that were benign in situ."
"From 1955 the category for scarlatina also included deaths from streptococcal sore throat."
"Tuberculosis included late effects of tuberculosis from 1973."
"Rheumatoid arthritis etc also included osteomyelitis."
"Congenital anomalies also included birth injury and infant disease prior to 1950."
